customer_id,first_name,last_name,email,country,signup_date
1,Joshua,Taylor,gonzalesjulie@example.com,Congo,2025-08-05
2,Mckenzie,Williams,melissamorales@example.com,Cayman Islands,2026-02-09
3,Lisa,Collins,guerrerocourtney@example.org,Lebanon,2026-02-17
4,Sarah,Brooks,bonnie35@example.com,American Samoa,2025-03-23
5,Mary,Owens,dennishernandez@example.com,Dominica,2024-07-16
6,Daniel,Le,kimberlyhill@example.com,Brazil,2024-07-05
7,Emily,Smith,michael59@example.com,Saint Vincent and the Grenadines,2025-04-19
8,John,Schmidt,scottmckee@example.net,Wallis and Futuna,2025-04-21
9,Virginia,Wilson,danielle87@example.com,Cote d'Ivoire,2025-03-24
10,Christopher,Hill,montesroger@example.net,Aruba,2025-02-13
11,David,Gray,qgomez@example.net,Argentina,2025-03-07
12,Mary,Maddox,rjohnson@example.com,Panama,2025-02-15
13,Michelle,Wells,emily80@example.com,Micronesia,2024-06-18
14,Joseph,Porter,isaacpayne@example.org,Kazakhstan,2025-08-14
15,Ernest,Snyder,tiffany11@example.net,Jersey,2024-04-25
16,Tyler,Cook,qmanning@example.com,Croatia,2025-11-24
17,Kenneth,Reyes,melissa97@example.com,Costa Rica,2024-12-14
18,Michael,Myers,margaret33@example.com,Cape Verde,2025-09-11
19,Bernard,Martinez,osbornerobert@example.com,Zambia,2025-09-23
20,Daniel,Ramsey,rachelmeyer@example.net,Mayotte,2025-01-21
21,William,Nguyen,byrdrobert@example.net,Macao,2025-01-13
22,Richard,Riddle,william80@example.org,Comoros,2024-06-14
23,Sarah,Adams,garciablake@example.com,Lesotho,2024-10-06
24,Laurie,King,morrispaula@example.com,Indonesia,2026-02-03
25,Keith,Williams,jeffreythompson@example.net,Mongolia,2025-01-21
26,Donna,Sloan,lewisbelinda@example.com,Cyprus,2024-04-18
27,Jennifer,Lee,medinajennifer@example.org,Burkina Faso,2025-10-02
28,Sherri,Gibbs,nhernandez@example.org,Jersey,2025-09-26
29,Jason,Dudley,andrewrichmond@example.com,Netherlands Antilles,2025-12-09
30,Jonathan,Nelson,simmonstrevor@example.com,Norway,2024-12-24
31,James,Carroll,stantonmichael@example.org,San Marino,2024-09-02
32,Adrian,Burns,brewerrichard@example.com,Falkland Islands (Malvinas),2024-09-01
33,Michael,Kelly,craigruiz@example.net,Saint Martin,2025-08-12
34,Sierra,Perry,benitezmeagan@example.net,Maldives,2024-06-26
35,Kristen,Jackson,gibsonbrian@example.net,Swaziland,2025-08-28
36,Patrick,Rogers,tcampbell@example.com,Samoa,2026-03-29
37,Lynn,Rowe,scarr@example.org,Suriname,2026-02-04
38,Bridget,Newton,shaun29@example.org,Sao Tome and Principe,2024-11-09
39,Jennifer,Morrison,shaunsmith@example.net,Burkina Faso,2025-10-15
40,Darren,Miller,npope@example.com,Grenada,2024-11-21
41,Michelle,Conner,janethunter@example.net,Albania,2024-09-19
42,Gabrielle,Duncan,jason77@example.com,Nigeria,2024-12-27
43,Stephanie,Perry,cindythornton@example.org,Iran,2024-04-12
44,Kathy,Harris,michaelbonilla@example.net,Ukraine,2025-02-16
45,Jenny,Andrade,ryannicholson@example.org,Antigua and Barbuda,2024-08-30
46,Erik,Torres,hannahpaul@example.com,Belgium,2025-09-16
47,Patrick,Schmitt,frazierdaniel@example.net,Tajikistan,2025-01-04
48,Seth,Alexander,changmelinda@example.com,Dominican Republic,2025-07-28
